test.id,http.path,test.level,test.objective,test.source_nhan_csv,bankCif_csv,accountNoFrom_csv,amount_csv,whoCharge_csv,chargeAmount_csv,isAccount_csv,bankCodeId_csv,bankCode_csv,accountNoTo_csv,aliasName_csv,is247_csv,isNow_csv,isSaveToTemplate_csv,description_csv,transactionCategoryId_csv,otp_csv,bankId_csv,beneficiaryName_csv,idCard_csv,response.code_csv,response.message_csv,response.http_code_csv,active_or_not,groupcase
80,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  accountNoTo,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,Tài khoản nhận không được trống.,200,active,validate_transfer
81,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  description,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,getapi,getapi,400,Chưa nhập nội dung chuyển tiền,200,active,validate_transfer
82,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  otp,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
83,transaction/v1/transfer,integration,Chuyển khoản -  Bỏ trống -  Tất cả các trường,,,,0,1,0,1,,,,,0,0,0,,0,,,,,5000000,Dịch vụ không thực hiện được lúc này. Quý khách vui lòng thử lại sau ít phút.,200,active,validate_transfer
84,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  bankCif,,41323,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_transfer
85,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  accountNoFrom,,getapi,55565465465465446,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4005211,Số tài khoản chưa đăng ký để sử dụng.,200,active,validate_transfer
86,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  amount = 0,,getapi,getapi,0,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4005043,Số tiền chuyển lớn hơn 1.000 VND,200,active,validate_transfer
87,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  whoCharge,,getapi,getapi,getapi,67577,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
88,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  isAccount,,getapi,getapi,getapi,getapi,getapi,4546,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
89,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  bankCodeId,,getapi,getapi,getapi,getapi,getapi,getapi,54646456,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
90,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  bankCode,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,45646456,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
91,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  accountNoTo,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,54646456,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4005192,Người thụ hưởng không tồn tại. Vui lòng kiểm tra lại,200,active,validate_transfer
92,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  is247,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,45747,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
93,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  isNow,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4574747,getapi,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
94,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  isSaveToTemplate,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,457,getapi,getapi,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
95,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  transactionCategoryId,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4574747,getapi,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
96,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  otp,,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,45754754,getapi,getapi,getapi,400,javax.validation.constraints.NotBlank.message,200,active,validate_transfer
97,transaction/v1/transfer,integration,Chuyển khoản -  Sai -  All,,54646456,54646456,0,56757,0,5675757,56757,56757,56757,56757,56757,54646456,576575,56757,57575,56757,567575,567575,5757,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_transfer
